Cim,Szerzo,Megjegyzes
Országzászló-állítások Háromszéken,József Álmos,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 4-dik könyv
Sepsiszentgyörgy a sportvilágban,Áros Károly,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 5-dik könyv
A sepsiszentgyörgyi katolikus egyházközösség,Pénzes Lóránd,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 6-dik könyv
A sepsiszentgyörgyi református egyház,Csáki Árpád,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 8-dik könyv
Gyógyfüveskönyv,Michael Tierra,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 9-dik könyv
Egri csillagok,Gárdonyi Géza,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 10-dik könyv
Szent Péter esernyoje,Mikszáth Kálmán,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 14-dik könyv
Magyar mese és mondavilág 1/1,Benedek Elek,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 17-dik könyv
Magyar mese és mondavilág 1/2,Benedek Elek,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 18-dik könyv
Kapcsold ki a tévét,Steve Benett,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 20-dik könyv
Helyesírás,Szabolcs Ádám,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 4-dik könyv
Nagy magyarok élete 1.,Benedek Elek,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 6-dik könyv
Ennyi ha történt,Muszka Sándor,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 7-dik könyv
"""Povesti, amintiri, povestiri""",Ion Creanga,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 8-dik könyv
Scrieri,George Toparniceanu,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 9-dik könyv
Nemo kapitány,Jules Verne,Gyerekszoba/ 2-es szekrény/ 3-as polc/ 13-dik könyv
Középiskolai földrajz arlasz,Névtelen,Gyerekszoba/ 2-es szekrény/ 4-es polc/ elso könyv
A forma 1 kronikája,Névtelen,Kolozsvár
1000 focista,Névtelen,Kolozsvár
Angol-Magyar kéziszótár (2002-es kiadás),Takács Erika,Gyerekszóba/ 3-as szekrény/ 1-es polc/ elso könyv
Dico de poche (rom-fra),Névtelen,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 10-dik könyv
Közgazdasági szótár,Briota Liviu Zsolt,Gyerekszoba/ 3-as szekrény/ 1-es polc/ 11-dik könyv
English- romanian conversation book,Mihai Miroiu,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 12-dik könyv
Dic?ionar uzual francez-roman,Névtelen,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 13-dik könyv
Guide de conversation francais-roumain,Névtelen,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 14-dik könyv
Magyar-román vállalkozói kisszótár,Névtelen,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 15-dik könyv
Magyar-Francia szótár,Eckhart Sándor,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 16-dik könyv
Bulgar-roman dic?ionar,Tiberiu Iovan,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 17-dik könyv
Rus-roman mic dic?ionar,Tatiana Medvedev,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 18-dik könyv
Roman-francez mic dic?ionar,Gheorghiana Hane?,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 19-dik könyv
Világ örökség,Névtelen,Kolozsvár
Magyar-Angol kéziszótár (1993),Magay-Országh,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 2-dik könyv
Román-angol-magyar közgazdasági szótár,Briota Liviu Zsolt,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 20-dik könyv
Középfokú angol társalgási és külkereskedelmi nyelvkönyv,"""Jakabfi, Simonyi""",Gyerekszóba/ 3-as szekrény/ 1-es polc/ 21-dik könyv
Magyar-román (román-magyar) útügyi muszaki szótár,Jancsó Árpád,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 22-dik könyv
Dic?ionar englez-român de expresii verbale,Ileana Galea,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 23-dik könyv
Angol-Magyar kézíszótár,Magay-Országh,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 3-dik könyv
Oxford student s dictionary,A. S. Hornby,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 4-dik könyv
Magyar-Franci kéziszótár,Eckhart Sándor,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 5-dik könyv
Francia-Magyar kéziszótár,Eckhart Sándor,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 6-dik könyv
Magyar-román szótár,Névtelen,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 7-dik könyv
Román-magyar szótár,Névtelen,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 8-dik könyv
Angol-Magyar kisszótár,Magay-Országh,Gyerekszóba/ 3-as szekrény/ 1-es polc/ 9-dik könyv
"""Sport, életmod , egészség""",Szatmári Zoltán,Kolozsvár
Állatbébik,Névtelen,Gyerekszoba/ 3-as szekrény/ 2-es polc/ 11-dik könyv
Állatok akcióban,Névtelen,Gyerekszoba/ 3-as szekrény/ 2-es polc/ 5-dik könyv
Vadon élo állatok,Névtelen,Gyerekszoba/ 3-as szekrény/ 2-es polc/ 6-dik könyv
A világ kutya katalogusa,Serge Simione,Gyerekszoba/ 3-as szekrény/ 2-es polc/ 3-dik könyv
A világ lóvainak katalogusa,Jean Bollerean,Gyerekszoba/ 3-as szekrény/ 2-es polc/ 2-dik könyv
Elvész a nyom,Wass Albert,Gyerekszoba/ 4-es szekrény/ 1-es polc/ elso könyv
KI kicsoda a klasszikus zenében?,Névtelen,Gyerekszoba/ 4-es szekrény/ 1-es polc/ 10-dik könyv
